name;arguments;returntype
log;x;float
sin;x;float
abs;x;float
acos;x;float
asin;x;float
atan;x;float
ceiling;x;float
cos;x;float
exp;x;float
floor;x;float
int;x;float
is-number?;x;boolean
ln;x;float
log;x;float
max;x,y;float
mean;x;float
median;x;float
min;x;float
modes;x;float
new-seed;;float
precision;x,y;float
random;x;float
random-exponential;x;float
random-float;x;float
random-gamma;x,y;float
random-normal;x,y;float
random-poisson;x;float
random-seed;x;float
remainder;x,y;float
round;x;float
sin;x;float
sqrt;x;float
standard-deviation;x;float
subtract-headings;x,y;float
sum;x;float
tan;x;float
variance;x;float
